Nom de la borne de recharge,Nom du parc,Rue,Suite,Ville,Code Postal,Niveau de recharge,Latitude,Longitude,Coût,Mode de tarification,Type d’emplacement,Puissance (kW),Catégorie puissance
CEA-11452,10001 | BSR | ANJ | 7070 Jean-Talon,7070 rue Jean-Talon Est,,Montréal,H1M 3T4,Niveau 2,45.597136,-73.56931,1.0,par heure,sur rue,6.2,Lente
CEA-11314,10001 | BSR | ANJ | 7070 Jean-Talon,7070 rue Jean-Talon Est,,Montréal,H1M 3T4,Niveau 2,45.597136,-73.56931,1.0,par heure,sur rue,6.2,Lente
CEA-11908,10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie,7111 Marie-G Lajoie,,Montréal,H1J 2X8,Niveau 2,45.605348,-73.585155,1.0,par heure,,6.2,Lente
CEA-11904,10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie,7111 Marie-G Lajoie,,Montréal,H1J 2X8,Niveau 2,45.605348,-73.585155,1.0,par heure,,6.2,Lente
CEA-12657,10003 | BSR | ANJ | 7198  Imp. de la Boulance,7198  Imp. de la Boulance,,Montréal,H1J 2W1,Niveau 2,45.60919631,-73.58910024,1.0,par heure,,6.2,Lente
CEA-12643,10003 | BSR | ANJ | 7198  Imp. de la Boulance,7198  Imp. de la Boulance,,Montréal,H1J 2W1,Niveau 2,45.60919631,-73.58910024,1.0,par heure,,6.2,Lente
CEA-11323,10004 | BHR | ANJ | 7501 Rondeau,7501 Rondeau,,Montréal,H1K 2P3,Niveau 2,45.61634620767123,-73.55157011723178,1.0,par heure,,6.2,Lente
CEA-11156,10004 | BHR | ANJ | 7501 Rondeau,7501 Rondeau,,Montréal,H1K 2P3,Niveau 2,45.61634620767123,-73.55157011723178,1.0,par heure,,6.2,Lente
CEA-13322,10005 | BSR | ANJ | 8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,,Montréal,H1K 1E5,Niveau 2,45.60978719,-73.55726074,1.0,par heure,,7.2,Normale
CEA-13332,10005 | BSR | ANJ | 8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,,Montréal,H1K 1E5,Niveau 2,45.60978719,-73.55726074,1.0,par heure,,7.2,Normale
CEA-13333,10005 | BSR | ANJ | 8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,,Montréal,H1K 1E5,Niveau 2,45.60978719,-73.55726074,1.0,par heure,,7.2,Normale
CEA-13325,10005 | BSR | ANJ | 8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,,Montréal,H1K 1E5,Niveau 2,45.60978719,-73.55726074,1.0,par heure,,7.2,Normale
CEA-10038,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",,Montréal,H1J 2E9,Niveau 2,45.6074819,-73.5865146,1.0,par heure,sur rue,7.2,Normale
CEA-10134,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",,Montréal,H1J 2E9,Niveau 2,45.6074819,-73.5865146,1.0,par heure,sur rue,7.2,Normale
CEA-10157,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",,Montréal,H1J 2E9,Niveau 2,45.6074819,-73.5865146,1.0,par heure,,6.2,Lente
CEA-10174,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",,Montréal,H1J 2E9,Niveau 2,45.6074819,-73.5865146,1.0,par heure,sur rue,6.2,Lente
CEA-10171,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",,Montréal,H1J 2E9,Niveau 2,45.6074819,-73.5865146,1.0,par heure,,6.2,Lente
CEA-10177,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",,Montréal,H1J 2E9,Niveau 2,45.6074819,-73.5865146,1.0,par heure,sur rue,6.2,Lente
CEA-10178,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",,Montréal,H1J 2E9,Niveau 2,45.6074819,-73.5865146,1.0,par heure,sur rue,6.2,Lente
CEA-10184,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",,Montréal,H1J 2E9,Niveau 2,45.6074819,-73.5865146,1.0,par heure,sur rue,6.2,Lente
CEA-12059,10007 | BSR | ANJ | 8755 4e Croissant,8755 4e Croissant,,Montréal,H1J 1M3,Niveau 2,45.621933,-73.573054,1.0,par heure,sur rue,6.2,Lente
