Nom de la borne de recharge,Nom du parc,Rue,Code Postal,Latitude,Longitude,Coût,is_fast_charge,price_mode_code,is_on_street,high_power,lat_zone,lon_zone
CEA-12392,100 rue Sainte-Angélique,100 rue Sainte-Angélique,G0A 3G0,46.757082,-71.825451,1.0,False,0,False,False,4,5
CEA-11452,10001 | BSR | ANJ | 7070 Jean-Talon,7070 rue Jean-Talon Est,H1M 3T4,45.597136,-73.56931,1.0,False,0,True,False,3,4
CEA-11314,10001 | BSR | ANJ | 7070 Jean-Talon,7070 rue Jean-Talon Est,H1M 3T4,45.597136,-73.56931,1.0,False,0,True,False,3,4
CEA-11908,10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie,7111 Marie-G Lajoie,H1J 2X8,45.605348,-73.585155,1.0,False,0,False,False,3,4
CEA-11904,10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie,7111 Marie-G Lajoie,H1J 2X8,45.605348,-73.585155,1.0,False,0,False,False,3,4
CEA-12657,10003 | BSR | ANJ | 7198  Imp. de la Boulance,7198  Imp. de la Boulance,H1J 2W1,45.60919631,-73.58910024,1.0,False,0,False,False,3,4
CEA-12643,10003 | BSR | ANJ | 7198  Imp. de la Boulance,7198  Imp. de la Boulance,H1J 2W1,45.60919631,-73.58910024,1.0,False,0,False,False,3,4
CEA-11323,10004 | BHR | ANJ | 7501 Rondeau,7501 Rondeau,H1K 2P3,45.61634620767123,-73.55157011723178,1.0,False,0,False,False,3,4
CEA-11156,10004 | BHR | ANJ | 7501 Rondeau,7501 Rondeau,H1K 2P3,45.61634620767123,-73.55157011723178,1.0,False,0,False,False,3,4
CEA-13322,10005 | BSR | ANJ | 8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,H1K 1E5,45.60978719,-73.55726074,1.0,False,0,False,False,3,4
CEA-13332,10005 | BSR | ANJ | 8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,H1K 1E5,45.60978719,-73.55726074,1.0,False,0,False,False,3,4
CEA-13333,10005 | BSR | ANJ | 8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,H1K 1E5,45.60978719,-73.55726074,1.0,False,0,False,False,3,4
CEA-13325,10005 | BSR | ANJ | 8310 Boulevard Châteauneuf,8310 Boulevard Châteauneuf,H1K 1E5,45.60978719,-73.55726074,1.0,False,0,False,False,3,4
CEA-10038,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",H1J 2E9,45.6074819,-73.5865146,1.0,False,0,True,False,3,4
CEA-10134,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",H1J 2E9,45.6074819,-73.5865146,1.0,False,0,True,False,3,4
CEA-10157,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",H1J 2E9,45.6074819,-73.5865146,1.0,False,0,False,False,3,4
CEA-10174,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",H1J 2E9,45.6074819,-73.5865146,1.0,False,0,True,False,3,4
CEA-10171,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",H1J 2E9,45.6074819,-73.5865146,1.0,False,0,False,False,3,4
CEA-10177,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",H1J 2E9,45.6074819,-73.5865146,1.0,False,0,True,False,3,4
CEA-10178,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",H1J 2E9,45.6074819,-73.5865146,1.0,False,0,True,False,3,4
CEA-10184,10006 | BBHR | ANJ | 7171 Bombardier - Atelier municipal,"7171, Rue Bombardier",H1J 2E9,45.6074819,-73.5865146,1.0,False,0,True,False,3,4
CEA-12059,10007 | BSR | ANJ | 8755 4e Croissant,8755 4e Croissant,H1J 1M3,45.621933,-73.573054,1.0,False,0,True,False,3,4
CEA-12053,10007 | BSR | ANJ | 8755 4e Croissant,8755 4e Croissant,H1J 1M3,45.621933,-73.573054,1.0,False,0,True,False,3,4
CEA-12027,10008 | BSR | ANJ | 8261 Haut-Anjou,8261 Haut-Anjou,H1J 1T8,45.603003,-73.56918,1.0,False,0,True,False,3,4
CEA-12056,10008 | BSR | ANJ | 8261 Haut-Anjou,8261 Haut-Anjou,H1J 1T8,45.603003,-73.56918,1.0,False,0,True,False,3,4
CEA-10172,10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier,8200 ave Chénier,H1J 2E9,45.6014799,-73.5416597,1.0,False,0,False,False,3,4
CEA-10043,10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier,8200 ave Chénier,H1J 2E9,45.6014799,-73.5416597,1.0,False,0,False,False,3,4
CEA-10148,10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier,8200 ave Chénier,H1J 2E9,45.6014799,-73.5416597,1.0,False,0,False,False,3,4
CEA-10144,10009 | BBHR | ANJ | 8200 ave Chénier - Aréna Chénier,8200 ave Chénier,H1J 2E9,45.6014799,-73.5416597,1.0,False,0,False,False,3,4
CEA-10928,1001 | BSR | AC | 10719 D'auteuil,"10719, Avenue d'Auteuil",H3L 2K7,45.55327559999999,-73.6697993,1.0,False,0,True,False,3,4
CEA-10942,1001 | BSR | AC | 10719 D'auteuil,"10719, Avenue d'Auteuil",H3L 2K7,45.55327559999999,-73.6697993,1.0,False,0,True,False,3,4
CEA-10183,10010 | BBHR | ANJ | 7701 Louis-H. La Fontaine,7701 Louis-H. La Fontaine,H1K 4B9,45.601665,-73.557643,1.0,False,0,True,False,3,4
CEA-10162,10010 | BBHR | ANJ | 7701 Louis-H. La Fontaine,7701 Louis-H. La Fontaine,H1K 4B9,45.601665,-73.557643,1.0,False,0,True,False,3,4
CEA-12993,10011 | BSR | ANJ | 6619 Merriam,6619 Merriam,H1K 1P1,45.604093,-73.551504,1.0,False,0,True,False,3,4
CEA-13088,10011 | BSR | ANJ | 6619 Merriam,6619 Merriam,H1K 1P1,45.604093,-73.551504,1.0,False,0,True,False,3,4
